date,sales,region
2025-01-06,10248.36,North
2025-01-13,10221.94,North
2025-01-20,10902.73,East
2025-01-27,11621.48,North
2025-02-03,11013.87,West
2025-02-10,11271.57,North
2025-02-17,12419.63,West
2025-02-24,12236.03,West
2025-03-03,11818.3,West
2025-03-10,12501.3,East
2025-03-17,12149.72,East
2025-03-24,12272.98,East
2025-03-31,12723.18,North
2025-04-07,11713.22,West
2025-04-14,11846.17,East
2025-04-21,12437.57,East
2025-04-28,12194.33,North
2025-05-05,12812.9,East
2025-05-12,12131.25,North
2025-05-19,11784.86,South
2025-05-26,17695.83,East
2025-06-02,12127.44,South
2025-06-09,12122.93,North
2025-06-16,11212.36,West
2025-06-23,11478.04,East
2025-06-30,11624.49,North
2025-07-07,10809.1,West
2025-07-14,11388.29,West
2025-07-21,10719.78,South
2025-07-28,10701.16,North
2025-08-04,10383.7,West
2025-08-11,11462.08,East
2025-08-18,10397.44,East
2025-08-25,9763.21,South
2025-09-01,10613.33,West
2025-09-08,9525.94,North
2025-09-15,10201.2,East
2025-09-22,9104.92,West
2025-09-29,6134.22,West
2025-10-06,10245.64,South
2025-10-13,10591.76,East
2025-10-20,10412.78,East
2025-10-27,10402.47,North
2025-11-03,10470.51,East
2025-11-10,10068.71,North
2025-11-17,10659.26,East
2025-11-24,11022.22,South
2025-12-01,12034.11,East
2025-12-08,11947.25,North
2025-12-15,11177.69,North
2025-12-22,12515.67,South
2025-12-29,12462.8,East
