date,sessions,bounce_rate,avg_duration_seconds
2025-01-01,4674,0.455,112.0
2025-01-02,5407,0.523,133.6
2025-01-03,5296,0.519,111.9
2025-01-04,2849,0.431,133.8
2025-01-05,3208,0.421,100.7
2025-01-06,5949,0.321,121.7
2025-01-07,4772,0.421,155.5
2025-01-08,5397,0.399,101.3
2025-01-09,5910,0.43,129.2
2025-01-10,5253,0.467,125.0
2025-01-11,3254,0.456,76.0
2025-01-12,3370,0.445,109.3
2025-01-13,5791,0.456,143.8
2025-01-14,5066,0.44,124.0
2025-01-15,5029,0.456,97.2
2025-01-16,4932,0.284,135.3
2025-01-17,5624,0.432,112.0
2025-01-18,3495,0.439,128.9
2025-01-19,3052,0.428,129.3
2025-01-20,4823,0.433,99.5
2025-01-21,4871,0.479,137.8
2025-01-22,5059,0.414,101.9
2025-01-23,4314,0.553,96.1
2025-01-24,4951,0.478,104.6
2025-01-25,2208,0.442,115.5
2025-01-26,2438,0.432,124.7
2025-01-27,5009,0.438,107.1
2025-01-28,4390,0.396,137.6
2025-01-29,4871,0.437,127.8
2025-01-30,4759,0.455,109.0
2025-01-31,5049,0.47,140.8
2025-02-01,2342,0.47,146.3
2025-02-02,2752,0.427,121.2
2025-02-03,5222,0.369,119.0
2025-02-04,5792,0.406,87.9
2025-02-05,5527,0.52,115.3
2025-02-06,5627,0.484,117.8
2025-02-07,5858,0.457,128.6
2025-02-08,3328,0.401,120.4
2025-02-09,3658,0.438,128.8
2025-02-10,5359,0.375,154.7
2025-02-11,5025,0.41,113.5
2025-02-12,5352,0.425,114.4
2025-02-13,5555,0.419,98.1
2025-02-14,5389,0.485,124.2
2025-02-15,7772,0.366,144.0
2025-02-16,3729,0.393,89.6
2025-02-17,5117,0.367,111.4
2025-02-18,5200,0.374,125.5
2025-02-19,5505,0.442,141.9
2025-02-20,4388,0.355,132.7
2025-02-21,4426,0.472,131.6
2025-02-22,3156,0.422,120.7
2025-02-23,2396,0.438,134.9
2025-02-24,4759,0.45,145.7
2025-02-25,5118,0.412,91.3
2025-02-26,5130,0.485,140.2
2025-02-27,5471,0.423,123.7
2025-02-28,5488,0.462,115.2
2025-03-01,3365,0.422,77.0
2025-03-02,2919,0.447,98.4
2025-03-03,5598,0.446,160.1
2025-03-04,5557,0.444,112.4
2025-03-05,5159,0.382,104.6
2025-03-06,6064,0.453,117.3
2025-03-07,5947,0.415,111.6
2025-03-08,3655,0.462,129.1
2025-03-09,3595,0.322,157.0
2025-03-10,5422,0.356,115.1
2025-03-11,5824,0.447,130.0
2025-03-12,5866,0.522,104.1
2025-03-13,5419,0.47,157.5
2025-03-14,5944,0.394,131.0
2025-03-15,3057,0.343,105.7
2025-03-16,2653,0.465,145.5
2025-03-17,5626,0.423,151.5
2025-03-18,5093,0.457,130.8
2025-03-19,5081,0.433,94.9
2025-03-20,4781,0.428,163.5
2025-03-21,4477,0.574,134.1
2025-03-22,3144,0.426,151.4
2025-03-23,2521,0.418,117.1
2025-03-24,5344,0.419,120.2
2025-03-25,5092,0.396,130.5
2025-03-26,4781,0.474,150.7
2025-03-27,4597,0.407,131.4
2025-03-28,4769,0.456,103.5
2025-03-29,2561,0.438,133.9
2025-03-30,3643,0.485,161.4
2025-03-31,5318,0.444,130.2
2025-04-01,5722,0.362,131.6
2025-04-02,5105,0.356,103.8
2025-04-03,5643,0.493,101.1
2025-04-04,6036,0.392,116.5
2025-04-05,3507,0.356,122.9
2025-04-06,3981,0.388,131.6
2025-04-07,5552,0.484,132.9
2025-04-08,5494,0.35,161.7
2025-04-09,6021,0.377,131.0
2025-04-10,5776,0.387,151.2
2025-04-11,6044,0.357,129.2
2025-04-12,3032,0.36,159.1
2025-04-13,3763,0.343,92.8
2025-04-14,6414,0.396,118.3
2025-04-15,5532,0.401,150.1
2025-04-16,5450,0.384,127.1
2025-04-17,5394,0.336,149.2
2025-04-18,4686,0.481,138.4
2025-04-19,3105,0.351,149.7
2025-04-20,2420,0.431,143.2
2025-04-21,4899,0.363,144.5
2025-04-22,5362,0.45,160.9
2025-04-23,4751,0.464,150.9
2025-04-24,5126,0.372,151.2
2025-04-25,5305,0.32,131.8
2025-04-26,2939,0.45,119.9
2025-04-27,2508,0.509,118.4
2025-04-28,5096,0.436,146.7
2025-04-29,5878,0.423,83.0
2025-04-30,4787,0.455,105.8
2025-05-01,1626,0.452,112.7
2025-05-02,5445,0.372,127.1
2025-05-03,3546,0.38,79.6
2025-05-04,3827,0.444,157.5
2025-05-05,6373,0.406,144.4
2025-05-06,5875,0.478,172.2
2025-05-07,6247,0.377,153.8
2025-05-08,6179,0.449,153.3
2025-05-09,6175,0.429,177.8
2025-05-10,3630,0.405,121.5
2025-05-11,3460,0.47,102.9
2025-05-12,5590,0.445,128.5
2025-05-13,5620,0.36,116.7
2025-05-14,5857,0.442,128.2
2025-05-15,5893,0.479,112.4
2025-05-16,5662,0.403,144.9
2025-05-17,3073,0.397,143.9
2025-05-18,3682,0.375,133.2
2025-05-19,5739,0.408,140.0
2025-05-20,5104,0.443,131.1
2025-05-21,4906,0.367,149.0
2025-05-22,5154,0.34,135.5
2025-05-23,5477,0.389,128.9
2025-05-24,2962,0.338,152.9
2025-05-25,3053,0.433,159.6
2025-05-26,5110,0.385,161.2
2025-05-27,5377,0.318,114.8
2025-05-28,5785,0.388,124.0
2025-05-29,5344,0.396,100.8
2025-05-30,5563,0.428,130.1
2025-05-31,3453,0.398,143.3
2025-06-01,3568,0.498,132.4
2025-06-02,5416,0.378,173.8
2025-06-03,5371,0.401,127.2
2025-06-04,5710,0.399,113.6
2025-06-05,6132,0.389,146.9
2025-06-06,6295,0.41,138.6
2025-06-07,3732,0.43,146.7
2025-06-08,4307,0.47,141.9
2025-06-09,6098,0.324,140.8
2025-06-10,6109,0.376,93.6
2025-06-11,5987,0.379,121.6
2025-06-12,6012,0.448,124.4
2025-06-13,6097,0.383,129.3
2025-06-14,3715,0.306,127.4
2025-06-15,3145,0.405,144.8
2025-06-16,6048,0.399,148.6
2025-06-17,5167,0.409,114.1
2025-06-18,5433,0.348,150.5
2025-06-19,5254,0.485,148.6
2025-06-20,4964,0.383,146.3
2025-06-21,2931,0.389,108.7
2025-06-22,2712,0.353,146.0
2025-06-23,5249,0.352,139.0
2025-06-24,5374,0.337,156.6
2025-06-25,5741,0.378,173.2
2025-06-26,5458,0.349,169.4
2025-06-27,5264,0.5,140.0
2025-06-28,3126,0.302,137.8
2025-06-29,3388,0.34,150.5
