date,active_users,churn_rate,new_signups
2023-01-01,48997,0.0384,4484
2023-02-01,51752,0.0354,4582
2023-03-01,55545,0.0368,4930
2023-04-01,56913,0.0289,4719
2023-05-01,58745,0.0356,4846
2023-06-01,59148,0.0332,5551
2023-07-01,56761,0.041,4400
2023-08-01,56608,0.0323,5100
2023-09-01,55466,0.0349,4607
2023-10-01,56281,0.0335,4956
2023-11-01,55327,0.0369,4465
2023-12-01,58973,0.041,4572
2024-01-01,61744,0.0351,4462
2024-02-01,66537,0.0372,4749
2024-03-01,68084,0.0298,6218
2024-04-01,73210,0.0353,5278
2024-05-01,74110,0.0289,6337
2024-06-01,72892,0.0305,5622
2024-07-01,72816,0.0412,5266
2024-08-01,73076,0.0346,6645
2024-09-01,71539,0.0318,6870
2024-10-01,72650,0.0351,4423
2024-11-01,73243,0.028,5953
2024-12-01,76768,0.0436,6622
2025-01-01,57491,0.089,4647
2025-02-01,83734,0.0363,8643
2025-03-01,85718,0.0337,8815
2025-04-01,87892,0.0347,7380
2025-05-01,89810,0.0299,6520
2025-06-01,92004,0.0334,6575
2025-07-01,88603,0.0384,5281
2025-08-01,90467,0.0318,8299
2025-09-01,92926,0.0343,6550
2025-10-01,90951,0.0441,7904
2025-11-01,97422,0.0354,8539
2025-12-01,97244,0.0306,7320
